Quarter,Inventory Bldgs,Inventory SF,Vacant SF Direct,Vacant SF Sublet,Vacant SF Total,Vacant Percent % Direct,Vacant Percent % Sublet,Vacant Percent % Total,Total Available SF Direct,Total Available SF Sublet,Total Available SF Total,Total Available Percent % Direct,Total Available Percent % Sublet,Total Available Percent % Total,Vacant Available SF Direct,Vacant Available SF Sublet,Vacant Available SF Total,Vacant Available Percent % Direct,Vacant Available Percent % Sublet,Vacant Available Percent % Total,Occupancy SF,Occupancy %,Net Absorption SF Direct,Net Absorption SF Sublet,Net Absorption SF Total,Gross Absorption SF Direct,Gross Absorption SF Sublet,Gross Absorption SF Total,Leasing Activity Deals Direct,Leasing Activity Deals Sublet,Leasing Activity Deals Total,Leasing Activity SF Direct,Leasing Activity SF Sublet,Leasing Activity SF Total,Deliveries Bldgs,Deliveries SF,Under Construction Bldgs,Under Construction SF,Office Gross Rent Direct,Office Gross Rent Sublet,Office Gross Rent Overall,Office Base Rent Direct,Office Base Rent Sublet,Office Base Rent Overall
2008 Q1,4065,563239778,26617210,4177942,30795152,4.7,0.7,5.5,39091357,7805664,46718556,6.9,1.4,8.2,22928756,3722287,26651043,4.1,0.7,4.7,532444626,94.5,-717740,-256722,-974462,5796771,1450304,7247075,1114,142,1256,6104428,1048462,7152890,0,0,18,7042403,63.89,50.23,63.48,60.25,49.99,59.74
2007 Q4,4081,563782424,26442116,3921220,30363336,4.7,0.7,5.4,37277367,7661825,44761478,6.5,1.3,7.8,22388695,3523397,25912092,4,0.6,4.6,533419088,94.6,1529455,399012,1928467,7774250,2062698,9836948,917,123,1040,5885192,1023003,6908195,3,1861312,12,6648841,61.56,51.4,61.36,56.7,50.73,56.22
2007 Q3,4085,562292210,26555845,4245744,30801589,4.7,0.8,5.5,34988100,7843347,42624356,6.1,1.4,7.5,22251383,3408233,25659616,4,0.6,4.6,531490621,94.5,-834010,53650,-780360,6205717,1610331,7816048,978,142,1120,6379347,1310806,7690153,0,0,12,8106522,58.15,51.26,57.95,55.23,50.54,55
2007 Q2,4093,563037901,26467526,4299394,30766920,4.7,0.8,5.5,35679169,8346809,43696546,6.2,1.5,7.7,22266498,3485287,25751785,4,0.6,4.6,532270981,94.5,-76195,-69757,-145952,6697922,1794441,8492363,1073,123,1196,7279859,1472539,8752398,3,87442,12,8106522,55.96,44.03,55.61,54.45,47.42,54.01
2007 Q1,4097,563437577,26791007,4229637,31020644,4.8,0.8,5.5,33920755,8687883,42358257,5.9,1.5,7.4,21862024,3645909,25507933,3.9,0.6,4.5,532416933,94.5,1523161,788306,2311467,7994454,2464923,10459377,1158,143,1301,6115338,1302385,7417723,4,372650,12,6995992,52.67,45.81,52.46,50.7,45.29,50.27
2006 Q4,4108,563728341,28604932,5017943,33622875,5.1,0.9,6,34613273,8402532,42739286,6.1,1.5,7.5,22179483,4004497,26183980,3.9,0.7,4.6,530105466,94,1049721,166357,1216078,6900642,2100830,9001472,937,118,1055,5639224,1200168,6839392,0,0,13,6973043,50.14,44.44,50.01,47.69,44.39,47.49
2006 Q3,4116,564564006,30490318,5184300,35674618,5.4,0.9,6.3,35867274,8729551,44499766,6.3,1.5,7.8,23992644,4142331,28134975,4.2,0.7,5,528889388,93.7,107909,499,108408,7991026,2606170,10597196,1081,161,1242,7988802,1706381,9695183,0,0,13,6973043,47.69,47.69,47.93,45.63,45.61,45.83
2006 Q2,4117,564584166,30618387,5184799,35803186,5.4,0.9,6.3,39530293,9095832,48495405,6.9,1.6,8.5,25962886,4328219,30291105,4.6,0.8,5.4,528780980,93.7,1807718,346898,2154616,8125054,2127398,10252452,1221,196,1417,6449314,1658221,8107535,2,921000,11,6934866,45.76,44.5,45.9,43.67,43.59,43.81
2006 Q1,4117,563669709,31511648,5531697,37043345,5.6,1,6.6,39781632,9371239,48890907,7,1.6,8.6,26990103,4815647,31805750,4.8,0.9,5.6,526626364,93.4,658532,45570,704102,7604869,2486075,10090944,1288,182,1470,6475151,1402349,7877500,2,340708,11,7785050,44.01,42.23,44.09,41.93,42.23,42.05
2005 Q4,4120,563843051,32343522,5577267,37920789,5.7,1,6.7,38719629,9427185,47626567,6.8,1.6,8.3,27205483,4836937,32042420,4.8,0.9,5.7,525922262,93.3,1957361,517293,2474654,7369443,2010615,9380058,1087,217,1304,6036775,2237816,8274591,1,19000,11,8051908,42.82,36.41,42.63,40.19,38.11,40.12
